name,lat,lon,type
Michigan Ave & Washington St,41.8839840647265,-87.6246839761734,bike
Broadway & Granville Ave,41.9947796884,-87.6602845349,bike
Western Ave & Fillmore St,41.868563,-87.686234,bike
Lake Park Ave & 53rd St,41.79949429373,-87.5864498959,bike
Dearborn St & Van Buren St,41.876268,-87.629155,bike
Kedzie Ave & Jackson Blvd,41.877161,-87.706134,bike
Narragansett Ave & Wrightwood Ave,41.92729,-87.78523,bike
Komensky Ave & 47th St,41.80769,-87.72472,bike
Wabash Ave & 83rd St,41.743359762253235,-87.62284398078917,bike
Sheridan Rd & Irving Park Rd,41.954245,-87.654406,bike
Ashland Ave & Blackhawk St,41.907066,-87.667252,bike
Central Park Ave & Washington Blvd,41.8827476,-87.7153994,bike
Wabash Ave & Wacker Pl,41.886875,-87.62603,bike
May St & 69th St,41.768938,-87.652934,bike
Lawndale Ave & 111th St,41.69131919221066,-87.71288573741913,bike
South Chicago Ave & Elliot Ave,41.747363,-87.580046,bike
Kildare Ave & 55th St,41.79332,-87.73059,bike
Kildare Ave & Montrose Ave,41.96108,-87.73569,bike
Lincoln Park Conservatory,41.92393131136619,-87.63582453131676,bike
Lavergne Ave & Fullerton Ave,41.924034,-87.751191,bike
Albany Ave & Douglas Blvd,41.8631643,-87.7030815,bike
Eberhart Ave & 131st St,41.658413151101065,-87.61071089698817,bike
Doty Ave & 111th St,41.69501044938143,-87.59871482849121,bike
Damen Ave & Clybourn Ave,41.931931,-87.677856,bike
Kedzie Ave & 57th St,41.78983,-87.7031,bike
Cherry Ave & Blackhawk St,41.907221,-87.655618,bike
California Ave & Altgeld St,41.92669,-87.697668,bike
Albany Ave & Montrose Ave,41.961041,-87.705866,bike
LaSalle St & Washington St,41.882664,-87.63253,bike
Chicago Ave & Washington St,42.032562,-87.679101,bike
Cicero Ave & Quincy St,41.877613,-87.745405,bike
Pulaski Rd & 75th St,41.75725,-87.72247,bike
Lamon Ave & Chicago Ave,41.8950179,-87.7484986,bike
Larrabee St & Armitage Ave,41.918084,-87.643749,bike
Halsted St & Archer Ave,41.847203,-87.646795,bike
Lamon Ave & 47th St,41.80781,-87.74569,bike
Kostner Ave & Adams St,41.877917,-87.735737,bike
Meade Ave & Addison St,41.94595,-87.77888,bike
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169,bike
Leavitt St & Division St,41.902997,-87.683825,bike
Conservatory Dr & Lake St,41.885502,-87.716866,bike
Wabash Ave & 16th St,41.860384,-87.625813,bike
Throop St & Taylor St,41.868968,-87.659141,bike
Commercial Ave & 83rd St,41.744615,-87.551208,bike
Western Ave & Congress Pkwy,41.87474885079,-87.6864452757,bike
Ewing Ave & Burnham Greenway,41.70999,-87.5355,bike
May St & Taylor St,41.869375,-87.65544,bike
Shabbona Park,41.9448,-87.79932,bike
Shields Ave & 57th St,41.79076,-87.6345,bike
Racine Ave & Belmont Ave,41.939743,-87.658865,bike
Pershing Rd & Sacramento Ave,41.8223772681012,-87.69975413003766,bike
Warren Park West,42.001785,-87.688829,bike
Manor Ave & Leland Ave,41.965875,-87.700825,bike
Kedzie Ave & 21st St,41.85353363213,-87.7050730318,bike
South Shore Dr & 71st St,41.7664094567,-87.5656875719,bike
Wells St & Hubbard St,41.889906,-87.634266,bike
Austin Blvd & Chicago Ave,41.894887,-87.774704,bike
Central Park Ave & Douglas Blvd,41.86235,-87.71587,bike
Kenosha Ave & Wellington Ave,41.934457,-87.733795,bike
DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,bike
State St & Kinzie St,41.889375466631684,-87.62707650661469,bike
Eggleston Ave & 92nd St,41.727575659299575,-87.63482809066771,bike
Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,bike
Broadway & Sheridan Rd,41.952833,-87.649993,bike
Francisco Ave & Foster Ave,41.97563272521,-87.7014194389,bike
Clinton St & Jackson Blvd,41.878316611830684,-87.64098107814789,bike
Halsted St & 56th St,41.79292964599,-87.6449900565,bike
Elston Ave & Carmen Ave,41.97354,-87.74955,bike
Springfield Ave & 80th St,41.74763,-87.71945,bike
Kildare Ave & Chicago Ave,41.8954357,-87.7334818,bike
Kingsbury St & Kinzie St,41.88917683258,-87.6385057718,bike
Tripp Ave & 31st St,41.836966,-87.730502,bike
Wentworth Ave & 24th St,41.85008369347577,-87.6321405172348,bike
State St & Van Buren St,41.877181,-87.627844,bike
Stony Island Ave & 71st St,41.7664929373,-87.5864608775,bike
Monticello Ave & Chicago Ave,41.89581,-87.71763,bike
Ashland Ave & 78th St,41.75220484941116,-87.66369938850403,bike
Racine Ave & Congress Pkwy,41.87464,-87.65703,bike
MLK Jr Dr & 63rd St,41.78008063659,-87.6159428567,bike
Kingsbury St & Erie St,41.8939139,-87.6417358,bike
Walden Pkwy & 100th St,41.71216410359803,-87.66773343086243,bike
